Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,092741,CME ,00,092 ,39087,14305,1418,156,3723,10114,475,9301,11802,37,1980,437,0,29977,24439,9110,14648,1496,431,-26,56,-72,1051,-458,2975,746,-410,-202,437,0,2320,1396,-824,100,100,36.6,3.6,0.4,9.5,25.9,1.2,23.8,30.2,0.1,5.1,1.1,0,76.7,62.5,23.3,37.5,44,4,,,,7,,12,13,4,,,0,25,29,43.1,27.9,57.9,40.2,42.9,27.9,57.6,40.2,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,092741,CME ,00,092 ,37591,13874,1444,100,3795,9063,933,6326,11056,447,2182,0,0,27657,23043,9934,14548,-1251,258,-246,-2,694,407,415,-2389,-1776,-385,0,0,0,-1409,-1587,158,336,100,36.9,3.8,0.3,10.1,24.1,2.5,16.8,29.4,1.2,5.8,0,0,73.6,61.3,26.4,38.7,38,4,,,4,6,4,9,11,5,,0,0,22,28,43.6,27.8,58.2,41.7,43.3,27.8,58,41.7,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,092741,CME ,00,092 ,38842,13616,1690,102,3101,8656,518,8715,12832,832,2182,0,0,29066,24630,9776,14212,497,814,-322,-22,-974,725,12,1631,134,809,0,0,0,2270,1336,-1773,-839,100,35.1,4.4,0.3,8,22.3,1.3,22.4,33,2.1,5.6,0,0,74.8,63.4,25.2,36.6,43,4,4,,,6,,12,13,4,,0,0,25,27,40.5,27,54,41.7,40.4,27,53.9,41.5,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,092741,CME ,00,092 ,38345,12802,2012,124,4075,7931,506,7084,12698,23,2182,0,0,26796,23294,11549,15051,2977,-53,652,123,415,-139,393,2086,490,4,0,0,0,2968,1523,9,1454,100,33.4,5.2,0.3,10.6,20.7,1.3,18.5,33.1,0.1,5.7,0,0,69.9,60.7,30.1,39.3,41,4,4,,4,5,,10,13,,,0,0,24,25,41.2,28,55.1,41.4,41.1,28,54.9,41.4,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,092741,CME ,00,092 ,35368,12855,1360,1,3660,8070,113,4998,12208,19,2182,0,0,23828,21771,11540,13597,1068,-170,573,-10,1388,42,10,-261,1701,0,0,0,0,957,2316,111,-1248,100,36.3,3.8,0,10.3,22.8,0.3,14.1,34.5,0.1,6.2,0,0,67.4,61.6,32.6,38.4,36,5,,,4,5,,7,12,,,0,0,19,20,43.6,30.6,57.5,44.4,43.6,30.6,57.5,44.4,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,092741,CME ,00,092 ,34300,13025,787,11,2272,8028,103,5259,10507,19,2182,0,0,22871,19455,11429,14845,1034,887,-764,10,550,-398,-215,758,937,-3,160,0,0,2147,-433,-1113,1467,100,38,2.3,0,6.6,23.4,0.3,15.3,30.6,0.1,6.4,0,0,66.7,56.7,33.3,43.3,33,5,,,4,5,,7,10,,,0,0,19,18,43.6,29,57.1,43.4,43.6,29,57.1,43.4,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,092741,CME ,00,092 ,33266,12138,1551,1,1722,8426,318,4501,9570,22,2022,0,0,20724,19888,12542,13378,16,-343,539,-11,-58,-1891,-167,-2902,2067,0,1277,0,0,-2204,537,2220,-521,100,36.5,4.7,0,5.2,25.3,1,13.5,28.8,0.1,6.1,0,0,62.3,59.8,37.7,40.2,32,4,,,4,6,,6,9,,,0,0,18,19,42.2,27.5,54.1,40.9,42.2,27.5,54.1,40.9,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,092741,CME ,00,092 ,33250,12481,1012,12,1780,10317,485,7403,7503,22,745,0,0,22928,19351,10322,13899,3399,1564,-45,0,-479,814,-2,3464,984,3,745,0,0,5295,1754,-1896,1645,100,37.5,3,0,5.4,31,1.5,22.3,22.6,0.1,2.2,0,0,69,58.2,31,41.8,36,5,,,4,8,,8,9,,,0,0,20,22,41.4,27.4,54.4,42.6,41.4,27.4,54.3,42.6,"(CONTRACTS OF CHF 125,000)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,096742,CME ,00,096 ,212064,74494,28809,481,31056,85765,4263,70536,46714,8707,1387,3468,0,190924,178207,21140,33857,-1438,-170,-909,-24,1015,859,-438,-2344,2059,-386,0,0,0,-2347,1161,909,-2599,100,35.1,13.6,0.2,14.6,40.4,2,33.3,22,4.1,0.7,1.6,0,90,84,10,16,126,8,6,,12,37,12,29,29,15,,,0,65,91,47.9,18.6,61.8,30.3,45.1,18.6,58.9,30,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,096742,CME ,00,096 ,213502,74664,29718,505,30041,84906,4701,72880,44655,9093,1387,3468,0,193271,177046,20231,36456,8186,5910,-2347,72,-116,5406,-308,1838,2568,1527,0,0,0,8923,6918,-737,1268,100,35,13.9,0.2,14.1,39.8,2.2,34.1,20.9,4.3,0.6,1.6,0,90.5,82.9,9.5,17.1,124,8,5,,10,40,13,29,27,17,,,0,63,94,47.1,19,61,30.4,44.2,19,58.1,30.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,096742,CME ,00,096 ,205316,68754,32065,433,30157,79500,5009,71042,42087,7566,1387,3468,0,184348,170128,20968,35188,1596,5580,-1058,0,-1836,8058,174,-3202,-3453,126,0,0,0,842,3847,754,-2251,100,33.5,15.6,0.2,14.7,38.7,2.4,34.6,20.5,3.7,0.7,1.7,0,89.8,82.9,10.2,17.1,126,8,5,,11,37,15,31,28,14,,,0,67,91,48.1,20.9,60.6,32.6,45.1,20.8,57.6,32.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,096742,CME ,00,096 ,203720,63174,33123,433,31993,71442,4835,74244,45540,7440,1387,3468,0,183506,166281,20214,37439,7607,7039,1088,115,-10894,5348,174,18417,1679,-3426,427,0,0,11852,4978,-4245,2629,100,31,16.3,0.2,15.7,35.1,2.4,36.4,22.4,3.7,0.7,1.7,0,90.1,81.6,9.9,18.4,127,8,5,,12,35,15,30,32,16,,,0,68,93,48.2,21.6,58.9,32.4,45.2,21.6,55.7,31.9,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,096742,CME ,00,096 ,196113,56135,32035,318,42887,66094,4661,55827,43861,10866,960,3468,0,171654,161303,24459,34810,2062,1573,-733,53,-258,1215,399,2528,-4255,-383,0,985,0,3912,-2719,-1850,4781,100,28.6,16.3,0.2,21.9,33.7,2.4,28.5,22.4,5.5,0.5,1.8,0,87.5,82.3,12.5,17.7,116,8,5,,15,28,15,27,28,11,,,0,64,81,49.9,21.3,61,32.7,46.8,21.3,57.7,32,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,096742,CME ,00,096 ,194051,54562,32768,265,43145,64879,4262,53299,48116,11249,960,2483,0,167742,164022,26309,30029,-7905,-1788,516,42,-229,-4830,-263,-8150,-2834,225,0,0,0,-10163,-7144,2258,-761,100,28.1,16.9,0.1,22.2,33.4,2.2,27.5,24.8,5.8,0.5,1.3,0,86.4,84.5,13.6,15.5,119,8,5,,15,29,14,22,34,15,,,0,62,89,50.3,21.8,62.3,33.6,47.2,21.7,59,33.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,096742,CME ,00,096 ,201956,56350,32252,223,43374,69709,4525,61449,50950,11024,960,2483,0,177905,171166,24051,30790,-757,5425,-2186,-254,-11385,1527,127,3759,-2901,1512,-432,0,-1,-1249,-2176,492,1419,100,27.9,16,0.1,21.5,34.5,2.2,30.4,25.2,5.5,0.5,1.2,0,88.1,84.8,11.9,15.2,122,7,5,,14,31,13,28,31,15,,,0,64,89,48.1,20.8,59,31.5,45.2,20.7,55.8,30.9,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,096742,CME ,00,096 ,202713,50925,34438,477,54759,68182,4398,57690,53851,9512,1392,2483,1,179154,173342,23559,29371,-3009,-2692,564,141,6151,4790,-865,-8924,-6358,1356,432,-450,1,-4400,-821,1391,-2188,100,25.1,17,0.2,27,33.6,2.2,28.5,26.6,4.7,0.7,1.2,0,88.4,85.5,11.6,14.5,124,7,6,,14,33,13,26,32,11,,,,61,90,47.6,21.4,61.9,31.9,44.9,21.3,58.7,31.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,096742,CME ,00,096 ,205722,53617,33874,336,48608,63392,5263,66614,60209,8156,960,2933,0,183554,174163,22168,31559,10282,2798,-1431,-910,942,3258,-1407,8880,9706,-610,0,70,0,9693,8676,589,1606,100,26.1,16.5,0.2,23.6,30.8,2.6,32.4,29.3,4,0.5,1.4,0,89.2,84.7,10.8,15.3,127,7,6,,15,31,12,25,37,11,,4,0,58,94,46.4,20,59.5,30.3,43.8,19.9,56.2,29.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,097741,CME ,00,097 ,200047,58020,12416,8027,72408,80598,4159,25965,51807,5355,1196,925,0,175130,163287,24917,36760,13947,21262,-4986,-6643,1088,10366,196,-4843,13911,829,185,-582,0,12074,13091,1873,856,100,29,6.2,4,36.2,40.3,2.1,13,25.9,2.7,0.6,0.5,0,87.5,81.6,12.5,18.4,125,10,10,4,19,30,15,16,34,14,,,0,64,94,36.8,23.3,54.9,34.9,36.8,23.2,53.2,34.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230221,2/21/2023,097741,CME ,00,097 ,186100,36758,17402,14670,71320,70232,3963,30808,37896,4526,1011,1507,0,163056,150196,23044,35904,11145,3550,-15336,-1036,-717,19384,107,9819,3246,3080,-391,33,0,14412,9478,-3267,1667,100,19.8,9.4,7.9,38.3,37.7,2.1,16.6,20.4,2.4,0.5,0.8,0,87.6,80.7,12.4,19.3,123,9,11,5,19,27,15,18,33,14,,4,0,66,91,38.5,25.8,55,37.6,38.5,22.1,50.1,32.1,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230214,2/14/2023,097741,CME ,00,097 ,174955,33208,32738,15706,72037,50848,3856,20989,34650,1446,1402,1474,0,148644,140718,26311,34237,10886,-1265,63,882,5700,3686,539,7413,3348,-423,-100,982,0,12746,9077,-1860,1809,100,19,18.7,9,41.2,29.1,2.2,12,19.8,0.8,0.8,0.8,0,85,80.4,15,19.6,115,7,13,4,19,25,15,15,29,9,,4,0,61,82,41,27.8,56.6,41.1,41,24.2,51.3,34.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230207,2/7/2023,097741,CME ,00,097 ,164069,34473,32675,14824,66337,47162,3317,13576,31302,1869,1502,492,0,135898,131641,28171,32428,-4471,-536,-7184,-739,6450,820,-173,-7395,-806,811,48,-401,0,-1534,-7672,-2937,3201,100,21,19.9,9,40.4,28.7,2,8.3,19.1,1.1,0.9,0.3,0,82.8,80.2,17.2,19.8,105,7,13,,19,22,14,12,27,11,,,0,58,75,40.6,30,57.3,43.9,40.6,27,50.6,37.6,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230131,1/31/2023,097741,CME ,00,097 ,168540,35009,39859,15563,59887,46342,3490,20971,32108,1058,1454,893,0,137432,139313,31108,29227,-4781,663,1352,33,-558,-3461,170,-4363,-4160,-825,0,-598,0,-4880,-7489,99,2708,100,20.8,23.6,9.2,35.5,27.5,2.1,12.4,19.1,0.6,0.9,0.5,0,81.5,82.7,18.5,17.3,112,6,12,5,23,20,13,17,28,10,,,0,64,76,40.3,33.5,52.2,47.3,36,30.4,46.4,40.5,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230124,1/24/2023,097741,CME ,00,097 ,173321,34346,38507,15530,60445,49803,3320,25334,36268,1883,1454,1491,0,142312,146802,31009,26519,-3541,-2657,342,254,4467,-3967,221,-6015,-565,-467,408,6,0,-3789,-4176,248,635,100,19.8,22.2,9,34.9,28.7,1.9,14.6,20.9,1.1,0.8,0.9,0,82.1,84.7,17.9,15.3,117,6,12,4,22,20,12,17,34,11,,,0,65,79,39.3,34.8,54.3,46.8,37.6,30.6,48.7,40.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230117,1/17/2023,097741,CME ,00,097 ,176862,37003,38165,15276,55978,53770,3099,31349,36833,2350,1046,1485,0,146101,150978,30761,25884,1117,-6001,10846,2139,965,-12692,316,1779,2183,431,-300,94,0,-671,3317,1788,-2200,100,20.9,21.6,8.6,31.7,30.4,1.8,17.7,20.8,1.3,0.6,0.8,0,82.6,85.4,17.4,14.6,114,7,10,4,20,23,11,21,29,12,,,0,66,75,38.4,35,53.3,47.5,36.6,31.3,48.2,41.2,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230110,1/10/2023,097741,CME ,00,097 ,175745,43004,27319,13137,55013,66462,2783,29570,34650,1919,1346,1391,0,146772,147661,28973,28084,3155,-2771,16219,921,767,-3138,-134,2639,-10795,-873,900,47,0,1449,2247,1706,908,100,24.5,15.5,7.5,31.3,37.8,1.6,16.8,19.7,1.1,0.8,0.8,0,83.5,84,16.5,16,107,6,10,,18,22,12,20,25,12,,,0,62,72,42.2,36.8,56.3,48.6,39.7,33.4,51,42.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,230103,1/3/2023,097741,CME ,00,097 ,172590,45775,11100,12216,54246,69600,2917,26931,45445,2792,446,1344,0,145323,145414,27267,27176,-546,-14954,3689,11702,930,-7469,-386,-1879,-3992,347,-586,-355,0,-4826,3536,4280,-4082,100,26.5,6.4,7.1,31.4,40.3,1.7,15.6,26.3,1.6,0.3,0.8,0,84.2,84.3,15.8,15.7,114,8,7,4,18,23,14,21,33,13,,,0,65,80,42.9,35.3,56.2,46.9,39.7,31.9,51,41.9,"(CONTRACTS OF JPY 12,500,000)",F10,FutOnly
EURO FX - CHICAGO MERCANTILE EXCHANGE,230228,2/28/2023,099741,CME ,00,099 ,803963,43416,549079,9516,488209,82563,21175,84939,58012,18838,39621,16235,5087,710801,760505,93162,43458,14065,-214,4112,1900,3270,5552,-38,5610,1912,303,1690,-266,86,12607,13561,1458,504,100,5.4,68.3,1.2,60.7,10.3,2.6,10.6,7.2,2.3,4.9,2,0.6,88.4,94.6,11.6,5.4,304,14,16,10,115,25,48,50,36,22,31,17,11,240,155,15.9,61.4,26.4,69.4,15.2,61.3,25.2,69.2,"(CONTRACTS OF EUR 125,000)",F10,FutOnly
